opportunity_id,opportunity_name,account_id
C3V1F7Y9,Renegotiation: KCFYNE,193482760
D7V5X1P9,Renewal: WQXJRU,864920531
E5R4J7N1,Credit Amendment: NTRFQK,582037461
F0Q3S8L2,Renewal: VYTABO,731592864
G8P7F3K1,Renewal: AJWLDK,864920531
H9M4T2J7,Additional Contract: DPKIOM,427105693
K6J9B1M4,Renegotiation: SMLQEK,205314271
L2F7J6D4,FPCUWA,193482760
N4X5Y7V2,Additional Contract: HNBGQI,864920531
P6T4K1E9,Renewal: MNBVUR,582037461
Q4X6Z2R0,UBFXNI,731592864
R8B1P9V7,Renewal: JDTQYS,427105693
S5N2R3C8,Credit Amendment: PLOXEI,302186547
T3W8C9G1,Renewal: RZXVKM,569431028
U7J5X1B3,ZLQJXG - XBRL Full Service 2025,654773125
V9Y2Q4L6,Renegotiation: VHBWYN- 2024,193482760
W1L3N8Y5,Credit Amendment: ZVTEGL,427105693
Y9B2L0T6,New Customer: AJWLDK,302186547
Z2D8Q3M5,Renegotiation: LQPXZI,569431028
Z3A8M5F0,Renewal: KXRAZT,864920531